url,walk_score,transit_score,bike_score
https://www.redfin.com/MO/Saint-Louis/4222-Hartford-St-63116/home/93749851,79.0,32.0,67.0
https://www.redfin.com/MO/Saint-Louis/6234-Pershing-Ave-63130/home/93760148,77.0,54.0,77.0
https://www.redfin.com/MO/Saint-Louis/6142-Westminster-Pl-63112/home/93760333,87.0,56.0,70.0
https://www.redfin.com/MO/Saint-Louis/6515-Odell-St-63139/home/93743834,55.0,33.0,55.0
https://www.redfin.com/MO/Saint-Louis/4373-McPherson-Ave-63108/home/93740336,77.0,43.0,62.0
https://www.redfin.com/MO/Saint-Louis/4534-Pershing-Pl-63108/home/93724621,83.0,44.0,62.0
https://www.redfin.com/MO/Saint-Louis/3407-Giles-Ave-63116/home/93730338,85.0,45.0,65.0
https://www.redfin.com/MO/Saint-Louis/5605-Chamberlain-Ave-63112/home/93681462,51.0,43.0,47.0
https://www.redfin.com/MO/Saint-Louis/5089-Westminster-Pl-63108/home/93749498,81.0,44.0,61.0
https://www.redfin.com/MO/Saint-Louis/6643-Villa-Ave-63139/home/93750136,57.0,33.0,42.0
https://www.redfin.com/MO/Saint-Louis/6424-Southland-Ave-63109/home/93774316,62.0,37.0,55.0
https://www.redfin.com/MO/Saint-Louis/1835-Lafayette-Ave-63104/home/93697465,86.0,47.0,65.0
https://www.redfin.com/MO/Saint-Louis/4617-Maryland-Ave-63108/home/93672243,87.0,44.0,63.0
https://www.redfin.com/MO/Saint-Louis/2713-Utah-St-63118/home/93694189,92.0,43.0,55.0
https://www.redfin.com/MO/Saint-Louis/3716-Arsenal-St-63116/home/93699835,83.0,42.0,77.0
https://www.redfin.com/MO/Saint-Louis/6229-San-Bonita-Ave-63105/home/62724448,73.0,36.0,81.0
https://www.redfin.com/MO/Saint-Louis/2017-Allen-Ave-63104/home/109919979,82.0,41.0,71.0
https://www.redfin.com/MO/Saint-Louis/4622-Tower-Grove-Pl-63110/home/62757152,72.0,32.0,70.0
https://www.redfin.com/MO/Saint-Louis/2810-Park-Ave-63104/home/93682320,76.0,37.0,56.0
https://www.redfin.com/MO/Saint-Louis/3953-Lafayette-Ave-63110/home/103204037,63.0,39.0,54.0
https://www.redfin.com/MO/Saint-Louis/4410-Louisiana-Ave-63111/home/93706036,78.0,41.0,50.0
https://www.redfin.com/MO/Saint-Louis/605-Fassen-St-63111/home/93708324,68.0,40.0,59.0
https://www.redfin.com/MO/Saint-Louis/5357-Lindell-Blvd-63112/home/93723615,43.0,53.0,79.0
https://www.redfin.com/MO/Saint-Louis/40-Waterman-Pl-63112/home/93724354,60.0,53.0,79.0
https://www.redfin.com/MO/Saint-Louis/2705-Lemp-Ave-63118/home/93697303,85.0,42.0,53.0
https://www.redfin.com/MO/Saint-Louis/1926-Withnell-Ave-63118/home/93693991,87.0,42.0,58.0
https://www.redfin.com/MO/Saint-Louis/4210-Wyoming-St-63116/home/80167991,77.0,32.0,63.0
https://www.redfin.com/MO/Saint-Louis/4012-Hartford-St-63116/home/93749776,72.0,36.0,69.0
https://www.redfin.com/MO/Saint-Louis/3814-Fairview-Ave-63116/home/93730411,85.0,46.0,57.0
https://www.redfin.com/MO/Saint-Louis/3402-Longfellow-Blvd-63104/home/93748658,75.0,39.0,70.0
https://www.redfin.com/MO/Saint-Louis/2805-Russell-Blvd-63104/home/93671782,78.0,39.0,59.0
https://www.redfin.com/MO/Saint-Louis/4040-Hartford-St-63116/home/62688221,72.0,36.0,69.0
https://www.redfin.com/MO/Saint-Louis/1040-Lami-St-63104/home/93686072,87.0,40.0,59.0
https://www.redfin.com/MO/University-City/6208-Washington-Ave-63130/home/93760194,92.0,55.0,67.0
https://www.redfin.com/MO/Saint-Louis/6405-Hancock-Ave-63139/home/93743262,64.0,33.0,63.0
https://www.redfin.com/MO/Saint-Louis/3147-Garden-Hill-Ln-63139/home/93674318,69.0,32.0,64.0
https://www.redfin.com/MO/Saint-Louis/1415-S-Cardinal-Ave-63104/home/103202863,63.0,39.0,48.0
https://www.redfin.com/MO/Saint-Louis/4504-Pershing-Pl-63108/home/93724626,83.0,44.0,62.0
