address,city,zip,property_type,sold_date,price,sqft,sqft_imputed,price_per_sqft,beds,baths,year_built,lot_size,days_on_market,lat,lon,url
2319 Whittemore Pl,Saint Louis,63104.0,Single Family Residential,March-6-2026,1000000,3814.0,False,262.19192448872576,4.0,4.5,1888.0,2683.0,,38.6160877,-90.2190927,https://www.redfin.com/MO/Saint-Louis/2319-Whittemore-Pl-63104/home/93700522
2625 Ohio Ave,Saint Louis,63118.0,Single Family Residential,April-28-2022,385000,2902.0,False,132.6671261199173,4.0,4.5,1889.0,6142.0,,38.6051325,-90.225518,https://www.redfin.com/MO/Saint-Louis/2625-Ohio-Ave-63118/home/178428436
5245 Washington Pl,Saint Louis,63108.0,Single Family Residential,October-26-2021,629000,5112.0,False,123.04381846635368,5.0,4.5,1904.0,8712.0,,38.6515419,-90.2714291,https://www.redfin.com/MO/Saint-Louis/5245-Washington-Pl-63108/home/93749456
3524 Victor St,Saint Louis,63104.0,Single Family Residential,October-16-2024,569900,4510.0,False,126.36363636363636,5.0,4.5,1904.0,5232.0,,38.608595,-90.2396655,https://www.redfin.com/MO/Saint-Louis/3524-Victor-St-63104/home/93692412
2317 Park Ave,Saint Louis,63104.0,Single Family Residential,November-17-2025,949000,4591.0,False,206.70877804399913,5.0,4.5,1885.0,13068.0,,38.6184063,-90.2185839,https://www.redfin.com/MO/Saint-Louis/2317-Park-Ave-63104/home/93701057
2147 E College Ave,St. Louis,63107.0,Single Family Residential,April-30-2025,349000,2800.0,False,124.64285714285714,5.0,4.5,1887.0,23958.0,,38.6742547,-90.2158624,https://www.redfin.com/MO/St-Louis/2147-College-Ave-63107/home/194354353
4467 Mcpherson Ave,Saint Louis,63108.0,Single Family Residential,May-18-2022,535000,3358.0,False,159.3210244192972,4.0,4.5,1909.0,7144.0,,38.64628,-90.2552965,https://www.redfin.com/MO/Saint-Louis/4467-McPherson-Ave-63108/home/93740227
30 Portland Pl,Saint Louis,63108.0,Single Family Residential,December-30-2024,1975000,6435.0,False,306.9153069153069,5.0,4.5,1897.0,18879.0,,38.6470138,-90.2696284,https://www.redfin.com/MO/Saint-Louis/30-Portland-Pl-63108/home/93745960
32 Washington Ter,Saint Louis,63112.0,Single Family Residential,May-9-2025,850000,7714.0,False,110.18926626912108,9.0,4.5,1902.0,18500.0,,38.651855,-90.2792711,https://www.redfin.com/MO/Saint-Louis/32-Washington-Ter-63112/home/93763739
2912 Iowa Ave,Saint Louis,63118.0,Single Family Residential,September-3-2021,355000,6722.0,False,52.811663195477536,3.0,4.5,1953.0,25744.0,,38.6011056,-90.2270427,https://www.redfin.com/MO/Saint-Louis/2912-Iowa-Ave-63118/home/143288513
4448 Maryland Ave,Saint Louis,63108.0,Single Family Residential,November-19-2021,579000,4036.0,False,143.45887016848366,5.0,4.5,1903.0,9322.0,,38.643222,-90.2556237,https://www.redfin.com/MO/Saint-Louis/4448-Maryland-Ave-63108/home/62754057
